sample	refs
F1509	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1511	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1513	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1514	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1515	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1516	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1517	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1518	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1519	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1520	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1521	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1570	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1571	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
